"id", "userId", "orderQty", "subtotal", "date", "timestamp",
1, 606, 5, "610.00", Mon Nov 30 2015 10:28:26 GMT-0500 (EST), 1448897306974,
2, 460, 3, "165.00", Wed Aug 20 2014 20:14:04 GMT-0400 (EDT), 1408580044728,
3, 490, 9, "594.00", Sun Sep 06 2015 22:10:16 GMT-0400 (EDT), 1441591816883,
4, 756, 9, "729.00", Tue Sep 02 2014 20:54:05 GMT-0400 (EDT), 1409705645096,
5, 1253, 9, "648.00", Thu Nov 20 2014 00:28:16 GMT-0500 (EST), 1416461296516,
6, 18, 7, "182.00", Mon Sep 29 2014 18:14:21 GMT-0400 (EDT), 1412028861577,
7, 58, 9, "405.00", Sat Apr 18 2015 23:31:18 GMT-0400 (EDT), 1429414278236,
8, 1139, 1, "52.00", Fri Jul 03 2015 02:14:47 GMT-0400 (EDT), 1435904087978,
9, 272, 2, "118.00", Fri Jul 24 2015 17:57:08 GMT-0400 (EDT), 1437775028797,
10, 1043, 5, "225.00", Mon Mar 07 2016 20:41:14 GMT-0500 (EST), 1457401274505,
11, 1268, 9, "585.00", Sun Feb 01 2015 14:45:41 GMT-0500 (EST), 1422819941095,
12, 541, 4, "276.00", Sat May 10 2014 00:07:37 GMT-0400 (EDT), 1399694857318,
13, 440, 3, "324.00", Sun Apr 13 2014 16:32:06 GMT-0400 (EDT), 1397421126021,
14, 1419, 7, "231.00", Tue May 27 2014 16:55:00 GMT-0400 (EDT), 1401224100015,
15, 835, 3, "330.00", Sun Dec 13 2015 05:23:46 GMT-0500 (EST), 1450002226632,
16, 595, 6, "384.00", Fri May 09 2014 05:39:15 GMT-0400 (EDT), 1399628355633,
17, 1142, 7, "203.00", Fri Jul 11 2014 20:44:39 GMT-0400 (EDT), 1405125879906,
18, 656, 9, "774.00", Thu Jul 10 2014 19:13:43 GMT-0400 (EDT), 1405034023497,
19, 532, 6, "504.00", Sat Jan 31 2015 23:49:30 GMT-0500 (EST), 1422766170007,
20, 713, 7, "329.00", Sat Feb 21 2015 23:33:00 GMT-0500 (EST), 1424579580500,
21, 417, 10, "1120.00", Tue Oct 13 2015 13:58:04 GMT-0400 (EDT), 1444759084320,
22, 427, 4, "296.00", Tue May 05 2015 03:44:27 GMT-0400 (EDT), 1430811867024,
23, 311, 1, "101.00", Tue May 27 2014 02:44:50 GMT-0400 (EDT), 1401173090255,
24, 968, 9, "1107.00", Sat May 10 2014 23:18:23 GMT-0400 (EDT), 1399778303445,
25, 142, 5, "400.00", Tue Jun 23 2015 01:45:30 GMT-0400 (EDT), 1435038330812,
